=== WINDOWS SERVICES ===
NAME                      STATE      VERSION              RISK       PATH
RpcSs                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
RstMwService              Running    17.5.2.1024          Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\iaahcic.inf_amd64_724e05bd98458fe4\RstMwService.exe
RtkAudioUniversalService  Running    1.1.690.1            Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_7b2fe279bbb26e16\RtkAudUService64.exe
SamSs                     Running    10.0.26100.1882      Unknown    C:\WINDOWS\system32\lsass.exe
SCardSvr                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ScDeviceEnum              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Schedule                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SCPolicySvc               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SDRSVC                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
seclogon                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SecurityHealthService     Running    10.0.26100.3037      Unknown    C:\WINDOWS\system32\SecurityHealthService.exe
SEMgrSvc                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SENS                      Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Sense                     Stopped    Path not found       Unknown    C:\Program
SensorDataService         Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\System32\SensorDataService.exe
SensorService             Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SensrSvc                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SessionEnv                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
SgrmBroker                Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\Sgrm\SgrmBroker.exe
SharedAccess              Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
ShellHWDetection          Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
shpamsvc                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
smphost                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
SmsRouter                 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SNMPTrap                  Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\System32\snmptrap.exe
Spooler                   Running    10.0.26100.3323      Unknown    C:\WINDOWS\System32\spoolsv.exe
sppsvc                    Stopped    10.0.26100.3470      Unknown    C:\WINDOWS\system32\sppsvc.exe
SSDPSRV                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ssh-agent                 Stopped    9.5.3.1              Unknown    C:\WINDOWS\System32\OpenSSH\ssh-agent.exe
sshd                      Stopped    9.5.3.1              Unknown    C:\WINDOWS\System32\OpenSSH\sshd.exe
SshdBroker                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SstpSvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
StateRepository           Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
StiSvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
StorSvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
Surfshark Service         Running    Path not found       Unknown    C:\Program
svsvc                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
swprv                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
SynTPEnhService           Running    19.5.31.21           Unknown    C:\WINDOWS\System32\SynTPEnhService.exe
SysMain                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
SystemEventsBroker        Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
TapiSrv                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
TermService               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
TextInputManagementService Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
Themes                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
TieringEngineService      Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\TieringEngineService.exe
TimeBrokerSvc             Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
TokenBroker               Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
TrkWks                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
TroubleshootingSvc        Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
TrustedInstaller          Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\servicing\TrustedInstaller.exe
tzautoupdate              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
UevAgentService           Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\AgentService.exe
UmRdpService              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
upnphost                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
UserManager               Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
UsoSvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
VaultSvc                  Running    10.0.26100.1882      Unknown    C:\WINDOWS\system32\lsass.exe
VBoxSDS                   Stopped    Path not found       Unknown    C:\Program
vds                       Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\System32\vds.exe
vgc                       Stopped    Path not found       Unknown    C:\Program
VMAuthdService            Running    Path not found       Unknown    E:\0UCM-MS
vmcompute                 Running    10.0.26100.3470      Unknown    C:\WINDOWS\system32\vmcompute.exe
vmicguestinterface        Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmicheartbeat             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmickvpexchange           Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmicrdv                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmicshutdown              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmictimesync              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmicvmsession             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmicvss                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
vmms                      Running    10.0.26100.3470      Unknown    C:\WINDOWS\system32\vmms.exe
VMnetDHCP                 Running    17.5.0.49595         Unknown    C:\WINDOWS\SysWOW64\vmnetdhcp.exe
VMUSBArbService           Running    Path not found       Unknown    C:\Program
VMware NAT Service        Running    17.5.0.49595         Unknown    C:\WINDOWS\SysWOW64\vmnat.exe
VmwareAutostartService    Stopped    Path not found       Unknown    E:\0UCM-MS
VSS                       Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\vssvc.exe
W32Time                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WaaSMedicSvc              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WalletService             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WarpJITSvc                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
wbengine                  Stopped    10.0.26100.3037      Unknown    C:\WINDOWS\system32\wbengine.exe
WbioSrvc                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Wcmsvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wcncsvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WdiServiceHost            Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WdiSystemHost             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WdNisSvc                  Running    Unknown              Unknown    C:\ProgramData\Microsoft\Windows
WebClient                 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WebManagement             Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\WebManagement.exe
webthreatdefsvc           Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Wecsvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WEPHOSTSVC                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wercplsupport             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WerSvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WFDSConMgrSvc             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WiaRpc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WinDefend                 Running    Unknown              Unknown    C:\ProgramData\Microsoft\Windows
WinHttpAutoProxySvc       Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Winmgmt                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WinRM                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
wisvc                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WlanSvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wlidsvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wlpasvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WManSvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wmiApSrv                  Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\wbem\WmiApSrv.exe
WMPNetworkSvc             Stopped    Path not found       Unknown    C:\Program
workfolderssvc            Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WpcMonSvc                 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WPDBusEnum                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WpnService                Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
wscsvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
WSearch                   Running    7.0.26100.3323       Unknown    C:\WINDOWS\system32\SearchIndexer.exe
WslInstaller              Stopped    Path not found       Unknown    C:\Program
WSLService                Running    Path not found       Unknown    C:\Program
wuauserv                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
WwanSvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
XblAuthManager            Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
XblGameSave               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
XboxGipSvc                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
XboxNetApiSvc             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ZeroConfigService         Running    Path not found       Unknown    C:\Program
AarSvc_9981f76            Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BcastDVRUserService_9981f76 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BluetoothUserService_9981f76 Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
CaptureService_9981f76    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
